sub_category,discount_flag,total_sales,total_units,sales_per_unit_proxy
Blouse,No Promo,189719.18,357,531.4262745098041
Blouse,Promo,268689.0,506,531.005928853755
Bottom,No Promo,42746.98,102,419.08803921568625
Bottom,Promo,107921.0,296,364.59797297297297
Dupatta,Promo,915.0,3,305.0
Ethnic Dress,No Promo,299233.66,396,755.6405555555557
Ethnic Dress,Promo,491984.0,657,748.834094368341
Saree,No Promo,30401.76,32,950.0550000000001
Saree,Promo,93532.0,120,779.4333333333333
Set,No Promo,11161675.9,12020,928.5920049916812
